Datum;Einwohnerzahl geamt;Einwohnerzahl m;Einwohnerzahl w
17.05.1939;60029;31240;28789
13.09.1950;63999;30748;33251
06.06.1961;78170;36060;42110
27.05.1970;92877;43817;49060
01.01.1975;103000;;
31.12.1976;105818;;
31.12.1977;107020;50608;56412
31.12.1978;108026;51133;56893
31.12.1979;109218;51775;57443
31.12.1980;110155;52242;57913
31.12.1981;110209;52195;58014
31.12.1982;110333;52222;58111
31.12.1983;109646;51950;57696
31.12.1984;109514;51925;57589
31.12.1985;109606;52105;57501
31.12.1986;110296;52465;57831
31.12.1987;111847;53848;57999
31.12.1988;114148;55004;59144
31.12.1989;116604;56201;60403
31.12.1990;120680;58371;62309
31.12.1991;125730;61259;64471
31.12.1992;128453;62537;65916
31.12.1993;130130;63350;66780
31.12.1994;131513;63968;67545
31.12.1995;133717;64964;68753
31.12.1996;135362;65845;69517
31.12.1997;136077;66158;69919
31.12.1998;136429;66414;70015
31.12.1999;137647;67010;70637
31.12.2000;139084;67799;71285
31.12.2001;140869;68777;72092
31.12.2002;141534;69221;72313
31.12.2003;141800;69373;72427
31.12.2004;142979;70126;72853
31.12.2005;143769;70705;73064
31.12.2006;144258;71018;73240
31.12.2007;144181;70996;73185
31.12.2008;144811;71324;73487
31.12.2009;145320;71448;73872
31.12.2010;146283;71934;74349
31.12.2011;143174;70208;72966
31.12.2012;143575;70489;73086
31.12.2013;143659;70665;72994
31.12.2014;145176;71707;73469
30.06.2015;145604;72050;73554
29.02.2016;149709;;